,magnitude,cdi,mmi,sig,nst,dmin,gap,magType,depth,alert
220,6.9,6,4,742,0,2.494,13.0,mww,12.0,green
221,7.6,9,8,1152,0,0.355,29.0,mww,38.0,yellow
222,6.7,5,5,726,0,3.38,17.0,mww,152.0,green
223,7.9,9,7,972,0,1.389,13.0,mww,94.56,yellow
224,6.9,8,6,737,0,1.747,26.0,mww,19.73,green
225,6.5,0,5,650,0,1.937,18.0,mww,12.26,green
226,7.8,9,8,961,0,1.836,13.0,mww,40.0,green
227,6.6,5,4,1120,0,1.405,55.0,mww,8.45,green
228,6.5,9,8,731,0,0.778,27.0,mww,13.0,yellow
229,6.6,8,7,693,0,1.697,20.0,mww,17.0,green
230,6.9,5,4,855,0,1.796,20.0,mww,10.0,green
231,6.9,9,6,1144,0,0.671,10.0,mww,9.0,green
232,6.5,7,7,664,0,0.283,56.0,mww,9.0,yellow
233,6.5,6,7,656,0,0.135,58.0,mww,10.0,yellow
234,7.8,9,9,1545,0,0.481,21.0,mww,15.11,orange
235,6.6,9,8,2840,0,0.174,25.0,mww,8.0,red
236,6.6,3,3,677,0,2.021,16.0,mww,614.0,green
237,6.8,3,6,716,0,3.727,11.0,mww,42.0,green
238,6.9,2,3,733,0,4.05,9.0,mww,596.5,green
239,7.0,5,6,897,0,0.698,21.0,mww,19.0,green
240,6.8,4,3,713,0,0.803,12.0,mww,476.0,green
241,6.8,6,6,981,0,1.802,17.0,mww,82.0,yellow
242,7.2,6,5,799,0,4.824,14.0,mww,16.38,green
243,7.7,5,6,971,0,3.295,14.0,mww,196.0,green
244,6.6,4,6,671,0,2.436,16.0,mww,50.0,green
245,7.2,1,6,798,0,5.805,24.0,mww,78.0,green
246,6.9,3,3,733,0,5.484,19.0,mww,405.8,green
247,6.9,8,7,780,0,1.192,17.0,mww,29.95,green
248,6.7,5,7,744,0,1.352,21.0,mww,16.0,green
249,7.0,7,7,755,0,0.616,14.0,mww,24.0,green
250,7.8,9,9,1163,0,1.44,15.0,mww,20.6,orange
251,7.0,9,9,2074,0,0.349,32.0,mww,10.0,red
252,6.9,6,6,903,0,3.002,14.0,mww,136.0,yellow
253,6.6,6,4,738,0,0.789,17.0,mww,212.0,green
254,6.7,7,5,692,0,6.785,25.0,mww,27.6,green
255,6.7,7,6,691,0,6.695,19.0,mww,24.0,green
256,6.9,7,6,734,0,1.166,25.0,mww,26.0,green
257,7.8,4,3,948,0,7.008,20.0,mww,24.0,green
258,7.2,3,7,799,0,0.958,17.0,mww,177.0,green
259,7.1,7,7,1496,0,0.0,0.0,mw,125.6,green
260,6.6,3,4,673,0,2.412,74.0,mww,10.0,green
261,6.7,5,6,717,0,0.281,22.0,mww,46.0,green
262,6.5,3,6,651,0,3.145,22.0,mww,13.0,green
263,6.7,8,7,1515,0,1.794,16.0,mww,55.0,orange
264,6.6,8,6,765,0,0.41,35.0,mww,85.0,green
265,6.9,8,5,738,0,2.979,14.0,mww,21.0,green
266,7.2,4,7,827,0,1.116,18.0,mww,22.0,green
267,6.7,2,3,691,0,2.033,19.0,mww,603.0,green
268,7.6,5,4,896,0,2.852,10.0,mww,620.5,green
269,7.6,6,5,957,0,3.287,10.0,mww,606.0,green
270,6.8,5,6,715,0,1.599,19.0,mww,12.59,green
271,6.5,7,7,1018,0,0.0,0.0,mww,11.0,orange
272,6.7,5,4,702,0,1.444,17.0,mww,12.0,green
273,6.9,5,6,744,0,0.821,43.0,mww,10.0,green
274,6.9,6,6,761,0,0.784,32.0,mww,12.0,green
275,6.6,7,4,675,0,2.793,31.0,mww,10.0,green
276,6.8,7,7,841,0,0.258,41.0,mww,46.0,green
277,6.5,5,7,657,0,1.53,21.0,mww,20.0,green
278,7.5,8,7,1448,0,0.622,18.0,mww,231.0,orange
279,7.1,6,6,780,0,0.592,11.0,mww,135.0,green
280,6.6,7,7,671,0,2.486,13.0,mww,18.0,green
281,6.6,5,7,820,0,1.064,14.0,mww,35.0,green
282,6.7,5,7,718,0,0.853,35.0,mww,23.0,green
283,6.5,6,7,657,0,0.749,62.0,mww,27.0,green
284,7.0,8,7,799,0,0.903,13.0,mww,28.4,green
285,8.3,9,8,1960,0,0.684,19.0,mww,22.44,orange
286,6.7,5,5,708,0,1.256,123.0,mww,10.0,green
287,6.5,0,5,650,0,2.045,16.0,mww,6.43,green
288,6.6,3,5,671,0,1.872,20.0,mww,22.0,green
289,7.0,9,7,762,0,6.277,12.0,mww,48.0,green
290,6.9,4,7,734,0,0.444,39.0,mww,29.0,green
291,7.0,8,6,759,0,5.203,22.0,mww,11.0,green
292,6.5,4,4,686,0,1.218,20.0,mww,20.0,green
293,6.7,4,5,691,0,1.529,11.0,mww,12.0,green
294,6.5,3,4,652,0,2.277,11.0,mww,460.0,green
295,7.8,6,3,1151,0,1.675,12.0,mww,664.0,green
296,6.8,5,6,762,0,0.0,0.0,mw,72.6,green
297,6.8,1,5,711,0,3.62,18.0,mww,10.0,green
298,6.9,1,4,732,0,4.023,22.0,mww,11.19,green
299,6.8,1,4,711,0,4.395,15.0,mww,11.0,green
300,6.8,8,6,831,0,1.422,8.0,mww,35.0,green
301,7.3,8,7,1563,0,0.677,11.0,mww,15.0,orange
302,7.1,1,6,776,0,3.836,11.0,mww,10.0,green
303,7.5,7,8,869,0,1.295,22.0,mww,55.0,green
304,6.8,5,6,714,0,1.074,23.0,mww,44.0,green
305,6.7,5,6,692,0,1.239,12.0,mww,31.0,green
306,6.7,7,7,1016,0,0.727,13.0,mww,22.9,yellow
307,6.6,8,7,733,0,1.778,16.0,mww,10.0,yellow
308,7.8,8,9,2820,0,1.857,12.0,mww,8.22,red
309,6.5,0,5,650,0,3.701,42.0,mww,10.0,green
310,6.5,2,5,650,0,4.63,36.0,mww,11.0,green
311,7.5,6,7,872,0,0.666,19.0,mww,41.0,green
312,7.0,4,6,760,0,1.362,12.0,mww,552.0,green
313,6.7,5,5,714,0,1.925,20.0,mww,23.0,green
314,6.7,4,6,700,0,2.11,16.0,mww,223.0,green
315,6.8,1,4,711,0,2.02,13.0,mww,220.0,green
316,6.5,1,4,650,0,4.316,61.0,mww,8.0,green
317,6.6,7,6,709,0,2.484,43.0,mww,20.0,green
318,6.6,1,5,670,0,3.246,12.0,mww,23.0,green
319,6.6,1,3,670,0,2.6,9.0,mww,614.0,green
320,6.8,6,5,713,0,1.421,19.0,mww,39.0,green
321,6.5,5,5,652,0,1.549,9.0,mww,35.0,green
322,6.7,7,4,698,0,1.079,25.0,mww,22.0,green
323,7.1,4,6,779,0,1.397,18.0,mww,45.0,green
324,6.6,2,6,671,0,3.557,13.0,mww,53.2,green
325,7.1,3,6,776,0,4.414,13.0,mww,434.0,green
326,7.3,8,6,982,0,1.078,18.0,mww,40.0,yellow
327,6.7,5,5,724,0,0.46,11.0,mww,130.0,green
328,6.8,6,6,741,0,4.105,18.0,mww,101.0,green
329,6.9,0,4,732,0,6.395,12.0,mww,13.0,green
330,6.9,0,6,732,0,3.934,15.0,mww,615.5,green
331,6.5,5,4,706,0,2.422,9.0,mww,20.0,green
332,6.9,8,7,1079,0,0.263,51.0,mww,53.0,orange
333,6.5,0,4,650,0,2.123,15.0,mww,20.0,green
334,6.7,0,5,691,0,6.715,45.0,mww,18.0,green
335,6.9,0,5,732,0,4.84,25.0,mww,8.0,green
336,7.9,6,8,963,0,0.133,22.0,mww,109.0,green
337,6.7,0,5,691,0,0.748,43.0,mwc,26.6,green
338,6.5,0,5,650,0,0.778,30.0,mwc,10.0,green
339,6.9,0,5,732,0,0.751,35.0,mww,20.0,green
340,6.9,9,7,951,0,0.402,25.0,mww,6.43,green
341,6.5,7,5,694,0,3.121,33.0,mww,10.0,green
342,6.6,0,5,670,0,3.34,10.0,mww,106.0,green
343,6.5,4,6,838,0,0.0,0.0,mww,10.0,green
344,7.5,0,6,865,0,3.82,16.0,mww,43.38,green
345,6.6,0,6,670,0,3.803,11.0,mww,29.0,green
346,7.2,8,7,1017,0,2.25,46.0,mww,24.0,yellow
347,6.6,0,6,670,0,2.666,22.0,mww,10.0,green
348,7.4,0,6,842,0,2.885,17.0,mww,39.0,green
349,7.6,0,7,889,0,2.828,13.0,mww,22.56,green
350,6.6,6,5,677,0,0.761,20.0,mww,135.0,green
351,6.5,0,6,650,0,3.787,16.0,mww,20.0,green
352,7.1,0,7,776,0,3.729,21.0,mww,60.53,green
353,7.7,8,9,1057,0,1.029,44.0,mww,22.4,yellow
354,6.5,7,7,670,0,0.828,82.0,mww,24.06,green
355,6.9,0,5,732,0,0.828,119.0,mww,28.42,green
356,8.2,9,8,1332,0,0.609,23.0,mww,25.0,yellow
357,6.7,7,7,718,0,1.008,44.0,mww,20.0,green
358,6.8,5,5,1211,112,0.6567,229.0,mw,16.44,green
359,6.5,4,5,668,0,1.001,17.0,mww,119.0,green
360,6.5,5,4,681,0,1.635,30.0,mww,14.83,green
361,6.9,3,8,733,0,7.496,18.0,mww,10.0,yellow
362,6.5,0,5,650,0,0.409,20.0,mww,122.0,green
363,6.5,0,3,650,0,3.65,22.0,mww,44.25,green
364,6.5,0,4,650,0,3.996,14.0,mww,187.0,green
365,6.5,3,4,651,0,5.195,22.0,mww,371.0,green
366,7.7,1,8,912,0,8.05,23.0,mww,10.0,green
367,6.9,0,5,732,0,8.28,17.0,mww,9.97,green
368,6.6,6,7,723,0,0.636,31.0,mww,27.0,green
369,7.1,6,4,872,0,3.969,10.0,mww,35.0,green
370,6.6,8,5,692,0,1.98,44.0,mww,9.45,green
371,6.8,0,6,711,0,5.79,9.0,mww,35.0,green
372,7.1,9,8,1092,0,3.145,12.0,mww,19.05,orange
373,6.6,5,6,691,0,1.984,40.0,mww,40.0,yellow
374,6.7,0,3,691,0,2.957,11.0,mww,573.0,green
375,6.5,0,4,650,0,1.709,21.0,mww,41.53,green
376,6.8,7,7,1005,0,7.36,17.0,mww,12.0,orange
377,7.1,8,7,843,0,4.445,17.0,mww,40.0,green
378,7.7,5,8,2015,0,7.242,17.0,mww,15.0,red
379,6.5,0,6,650,0,0.735,24.0,mww,20.0,green
380,6.5,5,3,739,0,3.275,26.0,mww,402.0,green
381,6.5,4,5,668,0,3.098,11.0,mww,112.0,green
382,7.0,5,6,758,0,0.624,53.0,mww,29.0,green
383,6.5,9,7,690,0,0.0,0.0,mww,8.2,yellow
384,6.7,4,5,715,0,3.74,22.0,mww,12.0,green
385,6.5,6,7,693,229,0.0,20.0,mww,17.0,yellow
386,7.3,0,6,820,398,0.0,43.0,mww,11.0,green
387,6.6,4,6,674,139,0.0,14.0,mww,56.0,green
388,7.3,0,4,820,117,0.0,24.0,mww,385.5,green
389,6.6,0,7,670,111,0.0,16.0,mww,10.0,green
390,6.5,5,6,679,698,0.0,27.0,mww,30.0,green
391,6.7,5,4,710,515,0.0,24.0,mww,9.0,green
392,6.7,0,3,691,217,0.0,25.2,mwb,624.0,green
393,8.3,5,5,1115,385,0.0,10.0,mww,598.0,green
394,7.4,0,6,842,626,0.0,16.0,mww,173.8,green
395,6.8,0,3,711,131,0.0,18.0,mww,602.0,green
396,6.5,0,6,650,264,0.0,16.6,mww,10.0,green
397,6.6,8,8,2083,548,0.0,12.6,mww,14.0,red
398,7.2,5,7,804,770,0.0,10.1,mww,110.0,green
399,6.6,7,7,672,445,0.0,11.0,mww,13.0,green
400,7.7,8,8,1421,506,0.0,26.6,mww,80.0,yellow
401,6.6,0,5,670,491,0.0,11.5,mww,31.0,green
402,7.0,3,7,755,640,0.0,11.4,mww,66.0,green
403,6.5,0,6,650,317,0.0,14.2,mww,28.0,green
404,6.5,3,6,651,480,0.0,20.7,mww,29.0,green
405,6.9,5,6,736,531,0.0,20.7,mww,41.0,green
406,6.6,0,7,670,697,0.0,15.3,mww,11.0,green
407,6.6,0,6,670,421,0.0,16.6,mww,18.0,green
408,6.9,5,5,904,562,0.0,23.7,mww,145.0,green
409,7.1,9,6,780,334,0.0,16.5,mww,21.0,green
410,6.8,0,7,711,400,0.0,17.5,mww,12.0,green
411,6.7,0,6,691,387,0.0,26.5,mww,11.0,green
412,7.0,0,6,754,445,0.0,17.5,mww,8.8,green
413,7.1,0,5,776,550,0.0,18.4,mww,10.0,green
414,8.0,8,7,993,460,0.0,20.9,mww,24.0,green
415,6.9,6,7,814,686,0.0,28.0,mww,107.0,yellow
416,6.8,6,7,771,596,0.0,19.3,mww,45.0,green
423,7.4,8,7,1455,751,0.0,25.5,mww,24.0,yellow
440,8.2,9,6,1213,341,0.0,14.9,mwc,25.1,green
441,8.6,9,7,2048,499,0.0,16.6,mw,20.0,yellow
507,7.2,9,9,2910,10,0.5137,239.0,mw,9.984,red
